index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales
169,2005.0,The Constant Princess,Philippa Gregory,en-US,Intermediate,3.88,124786,genre fiction,3564.05
170,1925.0,Mrs Dalloway,"Virginia Woolf, Maureen Howard",en-US,Intermediate,3.78,136327,genre fiction,1174.1
171,2009.0,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",en-GB,Intermediate,3.81,92275,genre fiction,5200.65
172,1998.0,Bag of Bones,Stephen King,en-US,Intermediate,3.87,131004,genre fiction,569.25
173,1985.0,The Cider House Rules,John Irving,eng,Intermediate,4.1,124876,genre fiction,1134.3
174,1984.0,Thinner,"Richard Bachman, Stephen King",en-GB,Intermediate,3.66,130219,genre fiction,1659.45
175,1872.0,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",eng,Intermediate,3.9,117108,genre fiction,4434.45
176,1994.0,Walk Two Moons,Sharon Creech,eng,Intermediate,3.95,129350,nonfiction,544.5
177,2003.0,Onze minutos,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,102206,genre fiction,534.6
178,1953.0,Nine Stories,J.D. Salinger,eng,Intermediate,4.19,105138,genre fiction,2154.6
179,2005.0,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,eng,Intermediate,3.67,121373,nonfiction,1599.65
180,2007.0,Unwind,Neal Shusterman,eng,Intermediate,4.18,143892,genre fiction,524.7
181,1996.0,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,eng,Intermediate,4.34,123736,nonfiction,1024.85
182,2013.0,Prodigy,Marie Lu,eng,Intermediate,4.29,149702,genre fiction,1524.9
183,1603.0,The Tragedie of King Lear,William Shakespeare,eng,Intermediate,3.89,135448,genre fiction,2014.95
184,1949.0,Death of a Salesman,Arthur Miller,eng,Novice,3.49,132061,genre fiction,5433.18
185,2007.0,The Choice,Nicholas Sparks,en-US,Intermediate,3.99,93479,genre fiction,1483.04
186,2012.0,,Kate Egan,en-US,Famous,4.51,119915,genre fiction,2950.91
187,1929.0,The Sound and the Fury,William Faulkner,eng,Intermediate,3.86,124665,genre fiction,2445.1
188,2005.0,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,eng,Intermediate,4.02,106211,genre fiction,483.12
189,2002.0,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,eng,Intermediate,4.21,120004,fiction,2605.92
190,2013.0,,Allie Brosh,eng,Intermediate,4.17,118910,genre fiction,5269.53
191,1992.0,The Shadow Rising ,Robert Jordan,en-US,Intermediate,4.21,122524,nonfiction,2057.58
192,2003.0,Shantaram,Gregory David Roberts,eng,Intermediate,4.26,95213,genre fiction,476.19
193,2008.0,From Dead to Worse,Charlaine Harris,eng,Intermediate,4.01,151095,genre fiction,475.2
194,1991.0,The Waste Lands,"Stephen King, Ned Dameron",eng,Intermediate,4.24,117483,genre fiction,1429.22
195,1997.0,The Bone Collector,Jeffery Deaver,en-US,Intermediate,4.18,120541,genre fiction,5253.22
196,1995.0,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",eng,Intermediate,3.73,119911,genre fiction,1423.24
197,1967.0,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",eng,Intermediate,4.19,125668,genre fiction,2375.24
198,1989.0,Hyperion,Dan Simmons,eng,Intermediate,4.21,122225,genre fiction,470.25
199,1947.0,The Pearl of the World,John Steinbeck,eng,Novice,3.41,133264,genre fiction,470.25
200,1971.0,The Exorcist,William Peter Blatty,en-US,Intermediate,4.14,124467,genre fiction,1399.32
201,2009.0,The Short Second Life of Bree Tanner,Stephenie Meyer,eng,Intermediate,3.51,145874,genre fiction,461.34
202,1994.0,Snow Falling on Cedars,David Guterson,eng,Intermediate,3.8,131945,genre fiction,1393.34
203,1976.0,Roots,Alex Haley,en-US,Famous,4.42,118951,genre fiction,460.35
204,1988.0,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",eng,Intermediate,4.36,113855,genre fiction,455.4
205,1952.0,Invisible Man,Ralph Ellison,eng,Intermediate,3.84,123073,genre fiction,455.4
206,2007.0,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,en-US,Intermediate,4.14,116260,genre fiction,3643.44
